Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.28,0,0.44504477,0.44504477,0.44504477,0.44504477,0.44504477,0,0,0,0,14.37534046,228.8021845,228.8021845,50674280
0.29,0,0.443831076,0.443831076,0.443831076,0.443831076,0.443831076,0,0,0,0,14.37534046,228.8021845,228.8021845,52484070
0.3,0,0.442656925,0.442656925,0.442656925,0.442656925,0.442656925,0,0,0,0,14.37534046,228.8021845,228.8021845,54293870
0.31,0,0.441520562,0.441520562,0.441520562,0.441520562,0.441520562,0,0,0,0,14.37534046,228.8021845,228.8021845,56103660
0.32,0,0.440420272,0.440420272,0.440420272,0.440420272,0.440420272,0,0,0,0,14.37534046,228.8021845,228.8021845,57913460
0.33,0,0.439354451,0.439354451,0.439354451,0.439354451,0.439354451,0,0,0,0,14.37534046,228.8021845,228.8021845,59723260
0.34,0,0.438321604,0.438321604,0.438321604,0.438321604,0.438321604,0,0,0,0,14.37534046,228.8021845,228.8021845,61533050
0.35,0,0.437320267,0.437320267,0.437320267,0.437320267,0.437320267,0,0,0,0,14.37534046,228.8021845,228.8021845,63342840
0.36,0,0.436349029,0.436349029,0.436349029,0.436349029,0.436349029,0,0,0,0,14.37534046,228.8021845,228.8021845,65152640
0.37,0,0.43540662,0.43540662,0.43540662,0.43540662,0.43540662,0,0,0,0,14.37534046,228.8021845,228.8021845,66962440
0.38,0,0.434491797,0.434491797,0.434491797,0.434491797,0.434491797,0,0,0,0,14.37534046,228.8021845,228.8021845,68772230
0.39,0,0.433603418,0.433603418,0.433603418,0.433603418,0.433603418,0,0,0,0,14.37534046,228.8021845,228.8021845,70582020
0.4,0,0.432740337,0.432740337,0.432740337,0.432740337,0.432740337,0,0,0,0,14.37534046,228.8021845,228.8021845,72391820
0.41,0,0.431901517,0.431901517,0.431901517,0.431901517,0.431901517,0,0,0,0,14.37534046,228.8021845,228.8021845,74201620
0.42,0,0.431085995,0.431085995,0.431085995,0.431085995,0.431085995,0,0,0,0,14.37534046,228.8021845,228.8021845,76011410
0.43,0,0.430292803,0.430292803,0.430292803,0.430292803,0.430292803,0,0,0,0,14.37534046,228.8021845,228.8021845,77821210
0.44,0,0.429521079,0.429521079,0.429521079,0.429521079,0.429521079,0,0,0,0,14.37534046,228.8021845,228.8021845,79631000
0.45,0,0.428769974,0.428769974,0.428769974,0.428769974,0.428769974,0,0,0,0,14.37534046,228.8021845,228.8021845,81440800
0.46,0,0.428038703,0.428038703,0.428038703,0.428038703,0.428038703,0,0,0,0,14.37534046,228.8021845,228.8021845,83250600
0.47,0,0.427326516,0.427326516,0.427326516,0.427326516,0.427326516,0,0,0,0,14.37534046,228.8021845,228.8021845,85060390
0.48,0,0.426632697,0.426632697,0.426632697,0.426632697,0.426632697,0,0,0,0,14.37534046,228.8021845,228.8021845,86870180
0.49,0,0.425956535,0.425956535,0.425956535,0.425956535,0.425956535,0,0,0,0,14.37534046,228.8021845,228.8021845,88679980
0.5,0,0.425297394,0.425297394,0.425297394,0.425297394,0.425297394,0,0,0,0,14.37534046,228.8021845,228.8021845,90489780
0.51,0,0.4246547,0.4246547,0.4246547,0.4246547,0.4246547,0,0,0,0,14.37534046,228.8021845,228.8021845,92299570
0.52,0,0.424027845,0.424027845,0.424027845,0.424027845,0.424027845,0,0,0,0,14.37534046,228.8021845,228.8021845,94109370
0.53,0,0.423416292,0.423416292,0.423416292,0.423416292,0.423416292,0,0,0,0,14.37534046,228.8021845,228.8021845,95919160
0.54,0,0.422819473,0.422819473,0.422819473,0.422819473,0.422819473,0,0,0,0,14.37534046,228.8021845,228.8021845,97728960
0.55,0,0.422236919,0.422236919,0.422236919,0.422236919,0.422236919,0,0,0,0,14.37534046,228.8021845,228.8021845,99538760
0.56,0,0.421668121,0.421668121,0.421668121,0.421668121,0.421668121,0,0,0,0,14.37534046,228.8021845,228.8021845,101348600
0.57,0,0.421112709,0.421112709,0.421112709,0.421112709,0.421112709,0,0,0,0,14.37534046,228.8021845,228.8021845,103158300
0.58,0,0.420570147,0.420570147,0.420570147,0.420570147,0.420570147,0,0,0,0,14.37534046,228.8021845,228.8021845,104968100
0.59,0,0.420040056,0.420040056,0.420040056,0.420040056,0.420040056,0,0,0,0,14.37534046,228.8021845,228.8021845,106777900
0.6,0,0.419522029,0.419522029,0.419522029,0.419522029,0.419522029,0,0,0,0,14.37534046,228.8021845,228.8021845,108587700
0.61,0,0.419405052,0.419405052,0.419405052,0.419405052,0.419405052,0,0,0,0,14.37534046,228.8021845,228.8021845,110397500
0.62,0,0.419284255,0.419284255,0.419284255,0.419284255,0.419284255,0,0,0,0,14.37534046,228.8021845,228.8021845,112207300
0.63,0,0.419173321,0.419173321,0.419173321,0.419173321,0.419173321,0,0,0,0,14.37534046,228.8021845,228.8021845,114017100
0.64,0,0.41907192,0.41907192,0.41907192,0.41907192,0.41907192,0,0,0,0,14.37534046,228.8021845,228.8021845,115826900
0.65,0,0.41897976,0.41897976,0.41897976,0.41897976,0.41897976,0,0,0,0,14.37534046,228.8021845,228.8021845,117636700
0.66,0,0.418896545,0.418896545,0.418896545,0.418896545,0.418896545,0,0,0,0,14.37534046,228.8021845,228.8021845,119446500
0.67,0,0.418821977,0.418821977,0.418821977,0.418821977,0.418821977,0,0,0,0,14.37534046,228.8021845,228.8021845,121256300
0.68,0,0.418755838,0.418755838,0.418755838,0.418755838,0.418755838,0,0,0,0,14.37534046,228.8021845,228.8021845,123066100
0.69,0,0.418697826,0.418697826,0.418697826,0.418697826,0.418697826,0,0,0,0,14.37534046,228.8021845,228.8021845,124875900
0.7,0,0.41864773,0.41864773,0.41864773,0.41864773,0.41864773,0,0,0,0,14.37534046,228.8021845,228.8021845,126685700
0.71,0,0.41860532,0.41860532,0.41860532,0.41860532,0.41860532,0,0,0,0,14.37534046,228.8021845,228.8021845,128495500
0.72,0,0.418570328,0.418570328,0.418570328,0.418570328,0.418570328,0,0,0,0,14.37534046,228.8021845,228.8021845,130305300
0.73,0,0.418542575,0.418542575,0.418542575,0.418542575,0.418542575,0,0,0,0,14.37534046,228.8021845,228.8021845,132115100
0.74,0,0.418521846,0.418521846,0.418521846,0.418521846,0.418521846,0,0,0,0,14.37534046,228.8021845,228.8021845,133924900
0.75,0,0.41850795,0.41850795,0.41850795,0.41850795,0.41850795,0,0,0,0,14.37534046,228.8021845,228.8021845,135734700
0.76,0,0.418500687,0.418500687,0.418500687,0.418500687,0.418500687,0,0,0,0,14.37534046,228.8021845,228.8021845,137544500
0.77,0,0.418499867,0.418499867,0.418499867,0.418499867,0.418499867,0,0,0,0,14.37534046,228.8021845,228.8021845,139354300
0.78,0,0.418505379,0.418505379,0.418505379,0.418505379,0.418505379,0,0,0,0,14.37534046,228.8021845,228.8021845,141164000
0.79,0,0.418516912,0.418516912,0.418516912,0.418516912,0.418516912,0,0,0,0,14.37534046,228.8021845,228.8021845,142973900
0.8,0,0.418534456,0.418534456,0.418534456,0.418534456,0.418534456,0,0,0,0,14.37534046,228.8021845,228.8021845,144783600
0.81,0,0.418557745,0.418557745,0.418557745,0.418557745,0.418557745,0,0,0,0,14.37534046,228.8021845,228.8021845,146593400
0.82,0,0.418586681,0.418586681,0.418586681,0.418586681,0.418586681,0,0,0,0,14.37534046,228.8021845,228.8021845,148403200
0.83,0,0.418621113,0.418621113,0.418621113,0.418621113,0.418621113,0,0,0,0,14.37534046,228.8021845,228.8021845,150213000
0.84,0,0.418660879,0.418660879,0.418660879,0.418660879,0.418660879,0,0,0,0,14.37534046,228.8021845,228.8021845,152022800
0.85,0,0.418705858,0.418705858,0.418705858,0.418705858,0.418705858,0,0,0,0,14.37534046,228.8021845,228.8021845,153832600
0.86,0,0.418755914,0.418755914,0.418755914,0.418755914,0.418755914,0,0,0,0,14.37534046,228.8021845,228.8021845,155642400
0.87,0,0.41881092,0.41881092,0.41881092,0.41881092,0.41881092,0,0,0,0,14.37534046,228.8021845,228.8021845,157452200
0.88,0,0.418870766,0.418870766,0.418870766,0.418870766,0.418870766,0,0,0,0,14.37534046,228.8021845,228.8021845,159262000
0.89,0,0.418935315,0.418935315,0.418935315,0.418935315,0.418935315,0,0,0,0,14.37534046,228.8021845,228.8021845,161071800
0.9,0,0.419004453,0.419004453,0.419004453,0.419004453,0.419004453,0,0,0,0,14.37534046,228.8021845,228.8021845,162881600
0.91,0,0.421853683,0.421853683,0.421853683,0.421853683,0.421853683,0,0,0,0,14.99237748,229.5095878,228.9405542,164691400
0.92,0,0.430401374,0.430401374,0.430401374,0.430401374,0.430401374,0,0,0,0,15.6094145,230.2169911,229.078924,166501200
0.93,0,0.440720759,0.440720759,0.440720759,0.440720759,0.440720759,0,0,0,0,16.22645152,230.9243944,229.2172937,168311000
0.94,0,0.448537991,0.448537991,0.448537991,0.448537991,0.448537991,0,0,0,0,16.84348854,231.6317977,229.3556635,170120800
0.95,0,0.456355224,0.456355224,0.456355224,0.456355224,0.456355224,0,0,0,0,17.46052556,232.339201,229.4940332,171930600
0.96,0,0.464172457,0.464172457,0.464172457,0.464172457,0.464172457,0,0,0,0,18.07756258,233.0466043,229.632403,173740400
0.97,0,0.471989689,0.471989689,0.471989689,0.471989689,0.471989689,0,0,0,0,18.6945996,233.7540076,229.7707727,175550200
0.98,0,0.479806922,0.479806922,0.479806922,0.479806922,0.479806922,0,0,0,0,19.31163662,234.4614109,229.9091425,177360000
0.99,0,0.487624155,0.487624155,0.487624155,0.487624155,0.487624155,0,0,0,0,19.92867364,235.1688142,230.0475122,179169800
1,0,0.495441388,0.495441388,0.495441388,0.495441388,0.495441388,0,0,0,0,20.54571066,235.8762175,230.1858819,180979600
1.01,0,0.50325862,0.50325862,0.50325862,0.50325862,0.50325862,0,0,0,0,21.16274769,236.5836208,230.3242517,182789300
1.02,0,0.511075853,0.511075853,0.511075853,0.511075853,0.511075853,0,0,0,0,21.77978471,237.2910241,230.4626214,184599100
1.03,0,0.518893086,0.518893086,0.518893086,0.518893086,0.518893086,0,0,0,0,22.39682173,237.9984274,230.6009912,186408900
1.04,0,0.526710318,0.526710318,0.526710318,0.526710318,0.526710318,0,0,0,0,23.01385875,238.7058307,230.7393609,188218700
1.05,0,0.534527551,0.534527551,0.534527551,0.534527551,0.534527551,0,0,0,0,23.63089577,239.413234,230.8777307,190028500
1.06,0,0.532896982,0.532896982,0.532896982,0.532896982,0.532896982,0,0,0,0,23.78434223,239.5585002,231.0625466,191838300
1.07,0,0.531282794,0.531282794,0.531282794,0.531282794,0.531282794,0,0,0,0,23.92637571,239.6928232,231.2330403,193648100
1.08,0,0.52968451,0.52968451,0.52968451,0.52968451,0.52968451,0,0,0,0,24.05943693,239.8184014,231.3921443,195457900
1.09,0,0.528101663,0.528101663,0.528101663,0.528101663,0.528101663,0,0,0,0,24.18521747,239.9370377,231.5421402,197267700
1.1,0,0.52653384,0.52653384,0.52653384,0.52653384,0.52653384,0,0,0,0,24.30494424,240.0497429,231.6844173,199077500
1.11,0,0.525067545,0.525067545,0.525067545,0.525067545,0.525067545,0,0,0,0,24.25238844,239.9718924,231.5965945,200887300
1.12,0,0.524012232,0.524012232,0.524012232,0.524012232,0.524012232,0,0,0,0,24.17571925,239.8673431,231.4764719,202697100
1.13,0,0.523204898,0.523204898,0.523204898,0.523204898,0.523204898,0,0,0,0,24.10166017,239.7656365,231.3597035,204506900
1.14,0,0.52259119,0.52259119,0.52259119,0.52259119,0.52259119,0,0,0,0,24.02989834,239.6665665,231.2460052,206316700
1.15,0,0.522145932,0.522145932,0.522145932,0.522145932,0.522145932,0,0,0,0,23.96017594,239.5695673,231.1347884,208126500
1.16,0,0.521215296,0.521215296,0.521215296,0.521215296,0.521215296,0,0,0,0,23.89227873,239.4746137,231.0259622,209936300
1.17,0,0.520406873,0.520406873,0.520406873,0.520406873,0.520406873,0,0,0,0,23.82602528,239.381372,230.9191701,211746100
1.18,0,0.519736678,0.519736678,0.519736678,0.519736678,0.519736678,0,0,0,0,23.76126121,239.2897442,230.814275,213555900
1.19,0,0.519199014,0.519199014,0.519199014,0.519199014,0.519199014,0,0,0,0,23.6978545,239.199579,230.7110994,215365700
1.2,0,0.518789433,0.518789433,0.518789433,0.518789433,0.518789433,0,0,0,0,23.63568979,239.110571,230.6093336,217175500
1.21,0,0.518504351,0.518504351,0.518504351,0.518504351,0.518504351,0,0,0,0,23.57466743,239.0227216,230.5089468,218985300
1.22,0,0.518340835,0.518340835,0.518340835,0.518340835,0.518340835,0,0,0,0,23.51469683,238.9359564,230.4098432,220795100
1.23,0,0.51829647,0.51829647,0.51829647,0.51829647,0.51829647,0,0,0,0,23.45570143,238.8501332,230.3118716,222604900
1.24,0,0.518369263,0.518369263,0.518369263,0.518369263,0.518369263,0,0,0,0,23.39761154,238.7652166,230.2149778,224414700
1.25,0,0.518557511,0.518557511,0.518557511,0.518557511,0.518557511,0,0,0,0,23.34036452,238.680998,230.1189555,226224400
1.26,0,0.518859767,0.518859767,0.518859767,0.518859767,0.518859767,0,0,0,0,23.28390411,238.5975563,230.0238571,228034200
1.27,0,0.519274835,0.519274835,0.519274835,0.519274835,0.519274835,0,0,0,0,23.22818079,238.5148027,229.9295872,229844000
1.28,0,0.519801668,0.519801668,0.519801668,0.519801668,0.519801668,0,0,0,0,23.17314722,238.4326473,229.8360504,231653800
1.29,0,0.520439399,0.520439399,0.520439399,0.520439399,0.520439399,0,0,0,0,23.11876523,238.3510183,229.7431707,233463600
1.3,0,0.521187289,0.521187289,0.521187289,0.521187289,0.521187289,0,0,0,0,23.0649937,238.269933,229.6509497,235273400
1.31,0,0.52204471,0.52204471,0.52204471,0.52204471,0.52204471,0,0,0,0,23.01179903,238.1893284,229.5593207,237083200
1.32,0,0.523011126,0.523011126,0.523011126,0.523011126,0.523011126,0,0,0,0,22.95914966,238.109055,229.4681404,238893000
1.33,0,0.52408613,0.52408613,0.52408613,0.52408613,0.52408613,0,0,0,0,22.907017,238.0292403,229.377513,240702800
1.34,0,0.525269321,0.525269321,0.525269321,0.525269321,0.525269321,0,0,0,0,22.8553743,237.9498355,229.2873861,242512600
1.35,0,0.526560439,0.526560439,0.526560439,0.526560439,0.526560439,0,0,0,0,22.80419486,237.870699,229.1976255,244322400
1.36,0,0.527959239,0.527959239,0.527959239,0.527959239,0.527959239,0,0,0,0,22.75345848,237.7918836,229.1082713,246132200
1.37,0,0.529465559,0.529465559,0.529465559,0.529465559,0.529465559,0,0,0,0,22.70314109,237.7134365,229.0193575,247942000
1.38,0,0.531079271,0.531079271,0.531079271,0.531079271,0.531079271,0,0,0,0,22.65322455,237.6351406,228.9306856,249751800
1.39,0,0.53280031,0.53280031,0.53280031,0.53280031,0.53280031,0,0,0,0,22.60368995,237.5571401,228.8423773,251561600
1.4,0,0.534628628,0.534628628,0.534628628,0.534628628,0.534628628,0,0,0,0,22.55452038,237.479315,228.7543205,253371400
1.41,0,0.536564231,0.536564231,0.536564231,0.536564231,0.536564231,0,0,0,0,22.50569935,237.4016332,228.6664815,255181200
1.42,0,0.538607157,0.538607157,0.538607157,0.538607157,0.538607157,0,0,0,0,22.45721059,237.3241538,228.5789071,256991000
1.43,0,0.540757471,0.540757471,0.540757471,0.540757471,0.540757471,0,0,0,0,22.40904293,237.2468555,228.4915751,258800800
1.44,0,0.543015256,0.543015256,0.543015256,0.543015256,0.543015256,0,0,0,0,22.35515575,237.1696157,228.4227969,260610600
1.45,0,0.545380676,0.545380676,0.545380676,0.545380676,0.545380676,0,0,0,0,22.29823289,237.0925969,228.3645329,262420400
1.46,0,0.547853838,0.547853838,0.547853838,0.547853838,0.547853838,0,0,0,0,22.24159146,237.0155915,228.3064222,264230200
1.47,0,0.55043494,0.55043494,0.55043494,0.55043494,0.55043494,0,0,0,0,22.18522005,236.9387596,228.2486028,266040000
1.48,0,0.553124181,0.553124181,0.553124181,0.553124181,0.553124181,0,0,0,0,22.12910915,236.8619002,228.1908929,267849700
1.49,0,0.555921734,0.555921734,0.555921734,0.555921734,0.555921734,0,0,0,0,22.07324957,236.7851779,228.1334355,269659600
1.5,0,0.558827862,0.558827862,0.558827862,0.558827862,0.558827862,0,0,0,0,22.01762912,236.7084781,228.0761243,271469300
1.51,0,0.561842788,0.561842788,0.561842788,0.561842788,0.561842788,0,0,0,0,21.96224196,236.6317883,228.0189463,273279100
1.52,0,0.564966814,0.564966814,0.564966814,0.564966814,0.564966814,0,0,0,0,21.90707788,236.5551785,227.9619601,275088900
1.53,0,0.566206606,0.566206606,0.566206606,0.566206606,0.566206606,0,0,0,0,21.85387151,236.4810925,227.9080161,276898700
1.54,0,0.563118922,0.563118922,0.563118922,0.563118922,0.563118922,0,0,0,0,21.80318022,236.4101519,227.8578868,278708500
1.55,0,0.560075523,0.560075523,0.560075523,0.560075523,0.560075523,0,0,0,0,21.75098636,236.3368161,227.8050766,280518300
1.56,0,0.557074651,0.557074651,0.557074651,0.557074651,0.557074651,0,0,0,0,21.69724003,236.2606267,227.7491581,282328100
1.57,0,0.554114753,0.554114753,0.554114753,0.554114753,0.554114753,0,0,0,0,21.64183013,236.1809989,227.6895666,284137900
1.58,0,0.551194275,0.551194275,0.551194275,0.551194275,0.551194275,0,0,0,0,21.58491901,236.0982187,227.6266184,285947700
1.59,0,0.548311826,0.548311826,0.548311826,0.548311826,0.548311826,0,0,0,0,21.52662111,236.0125029,227.5605496,287757500
1.6,0,0.545466048,0.545466048,0.545466048,0.545466048,0.545466048,0,0,0,0,21.46705689,235.9239015,227.4914504,289567300
1.61,0,0.542655685,0.542655685,0.542655685,0.542655685,0.542655685,0,0,0,0,21.40634207,235.8325507,227.4194858,291377100
1.62,0,0.539879507,0.539879507,0.539879507,0.539879507,0.539879507,0,0,0,0,21.34458065,235.7387514,227.3449628,293186900
1.63,0,0.537136395,0.537136395,0.537136395,0.537136395,0.537136395,0,0,0,0,21.28187091,235.642437,227.2678595,294996700
1.64,0,0.534425268,0.534425268,0.534425268,0.534425268,0.534425268,0,0,0,0,21.21831039,235.5439076,227.18848,296806500
1.65,0,0.531745097,0.531745097,0.531745097,0.531745097,0.531745097,0,0,0,0,21.15397282,235.4432445,227.1069242,298616300
1.66,0,0.529094907,0.529094907,0.529094907,0.529094907,0.529094907,0,0,0,0,21.08893879,235.3404554,227.0232299,300426000
1.67,0,0.526473766,0.526473766,0.526473766,0.526473766,0.526473766,0,0,0,0,21.02328862,235.2357275,226.9375942,302235800
1.68,0,0.523880819,0.523880819,0.523880819,0.523880819,0.523880819,0,0,0,0,20.95708099,235.1292179,226.8501791,304045600
1.69,0,0.52131517,0.52131517,0.52131517,0.52131517,0.52131517,0,0,0,0,20.89038706,235.0209264,226.7610116,305855500
1.7,0,0.518776109,0.518776109,0.518776109,0.518776109,0.518776109,0,0,0,0,20.82326479,234.9109256,226.6701787,307665200
1.71,0,0.516262797,0.516262797,0.516262797,0.516262797,0.516262797,0,0,0,0,20.7557719,234.7993749,226.5778443,309475000
1.72,0,0.513774524,0.513774524,0.513774524,0.513774524,0.513774524,0,0,0,0,20.68794707,234.6863184,226.4840625,311284800
1.73,0,0.511310618,0.511310618,0.511310618,0.511310618,0.511310618,0,0,0,0,20.61985633,234.5718481,226.3889408,313094600
1.74,0,0.508870396,0.508870396,0.508870396,0.508870396,0.508870396,0,0,0,0,20.55153311,234.456003,226.2925267,314904400
1.75,0,0.506453221,0.506453221,0.506453221,0.506453221,0.506453221,0,0,0,0,20.48301589,234.3388294,226.1948763,316714200
1.76,0,0.504058515,0.504058515,0.504058515,0.504058515,0.504058515,0,0,0,0,20.41435423,234.2204872,226.0961516,318524000
1.77,0,0.501685658,0.501685658,0.501685658,0.501685658,0.501685658,0,0,0,0,20.34558139,234.100932,225.9963259,320333800
1.78,0,0.499334114,0.499334114,0.499334114,0.499334114,0.499334114,0,0,0,0,20.27672926,233.9802052,225.8954485,322143600
1.79,0,0.497003331,0.497003331,0.497003331,0.497003331,0.497003331,0,0,0,0,20.2078224,233.858516,225.7937155,323953400
1.8,0,0.494692817,0.494692817,0.494692817,0.494692817,0.494692817,0,0,0,0,20.13890132,233.7357495,225.6910407,325763200
1.81,0,0.492402063,0.492402063,0.492402063,0.492402063,0.492402063,0,0,0,0,20.0699896,233.6119354,225.5874597,327573000
1.82,0,0.490130604,0.490130604,0.490130604,0.490130604,0.490130604,0,0,0,0,20.00110479,233.4872776,225.4831615,329382800
1.83,0,0.487877992,0.487877992,0.487877992,0.487877992,0.487877992,0,0,0,0,19.93227836,233.361735,225.3781217,331192600
1.84,0,0.485643764,0.485643764,0.485643764,0.485643764,0.485643764,0,0,0,0,19.86353493,233.2353466,225.2723854,333002400
1.85,0,0.483427542,0.483427542,0.483427542,0.483427542,0.483427542,0,0,0,0,19.79488359,233.1082102,225.1660432,334812200
1.86,0,0.481228872,0.481228872,0.481228872,0.481228872,0.481228872,0,0,0,0,19.7263554,232.9802059,225.0590011,336622000
1.87,0,0.479047393,0.479047393,0.479047393,0.479047393,0.479047393,0,0,0,0,19.65795922,232.8515188,224.9514276,338431800
1.88,0,0.476882726,0.476882726,0.476882726,0.476882726,0.476882726,0,0,0,0,19.58971114,232.7220883,224.8432753,340241600
1.89,0,0.474734501,0.474734501,0.474734501,0.474734501,0.474734501,0,0,0,0,19.52162772,232.5920328,224.7346568,342051400
1.9,0,0.472602378,0.472602378,0.472602378,0.472602378,0.472602378,0,0,0,0,19.45372448,232.4613801,224.6256031,343861200
1.91,0,0.470486041,0.470486041,0.470486041,0.470486041,0.470486041,0,0,0,0,19.38601821,232.3300719,224.5160695,345670900
1.92,0,0.468385102,0.468385102,0.468385102,0.468385102,0.468385102,0,0,0,0,19.31851706,232.1982106,224.4061507,347480700
1.93,0,0.466299308,0.466299308,0.466299308,0.466299308,0.466299308,0,0,0,0,19.25122992,232.0658171,224.2958692,349290500
1.94,0,0.464228315,0.464228315,0.464228315,0.464228315,0.464228315,0,0,0,0,19.18416331,231.9328142,224.185159,351100400
1.95,0,0.462171854,0.462171854,0.462171854,0.462171854,0.462171854,0,0,0,0,19.11733394,231.7994105,224.0742133,352910100
1.96,0,0.460129635,0.460129635,0.460129635,0.460129635,0.460129635,0,0,0,0,19.05075008,231.6654516,223.962898,354719900
1.97,0,0.458101375,0.458101375,0.458101375,0.458101375,0.458101375,0,0,0,0,18.98441258,231.5310269,223.8512934,356529700
1.98,0,0.456086828,0.456086828,0.456086828,0.456086828,0.456086828,0,0,0,0,18.91834493,231.3962762,223.739534,358339500
1.99,0,0.454085701,0.454085701,0.454085701,0.454085701,0.454085701,0,0,0,0,18.85253142,231.2609907,223.6274275,360149300
2,0,0.452097792,0.452097792,0.452097792,0.452097792,0.452097792,0,0,0,0,18.78698689,231.1253832,223.51517,361959100
2.01,0,0.450373498,0.450373498,0.450373498,0.450373498,0.450373498,0,0,0,0,18.72173014,230.9894084,223.4027293,363768900
2.02,0,0.448654053,0.448654053,0.448654053,0.448654053,0.448654053,0,0,0,0,18.65675105,230.8530486,223.2900854,365578700
2.03,0,0.446947367,0.446947367,0.446947367,0.446947367,0.446947367,0,0,0,0,18.59205893,230.7163265,223.1772628,367388500
2.04,0,0.445253277,0.445253277,0.445253277,0.445253277,0.445253277,0,0,0,0,18.5276525,230.5793308,223.0643405,369198300
2.05,0,0.443571536,0.443571536,0.443571536,0.443571536,0.443571536,0,0,0,0,18.4635409,230.4420015,222.9512688,371008100
2.06,0,0.441901998,0.441901998,0.441901998,0.441901998,0.441901998,0,0,0,0,18.39973277,230.3043612,222.8380718,372817900
2.07,0,0.440244466,0.440244466,0.440244466,0.440244466,0.440244466,0,0,0,0,18.33621795,230.1664805,222.7248085,374627700
2.08,0,0.438598763,0.438598763,0.438598763,0.438598763,0.438598763,0,0,0,0,18.27300725,230.0283864,222.6115079,376437500
2.09,0,0.436964686,0.436964686,0.436964686,0.436964686,0.436964686,0,0,0,0,18.21010677,229.8899271,222.4980369,378247300
